Code NAF|Définition|Groupe 
2562B|mécanique industrielle|Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
2571Z|fabrication de coutellerie|Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
2572Z| fabrication de serrures et de ferrures|Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
2573A|fabrication de moules et de modèles|Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
2573B|fabrication d’autres outillages|Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
2591Z|fabrication de fûts et emballages métalliques similaires|Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
2592Z|fabrication d’emballages métalliques légers|Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
2593Z|fabrication d’articles en fils métalliques, de chaines et de ressorts|Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
2594Z|fabrication de vis et de boulons|Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
2599A|fabrication d’articles métalliques ménagers|Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
2599B|fabrication d’autres articles métalliques|Métallurgie et fabrication de produits métalliques à l’exception des machines et des équipements
2110Z|fabrication de produits pharmaceutiques de base|Industrie pharmaceutique
2120Z|fabrication de préparations pharmaceutiques|Industrie pharmaceutique
2811Z|fabrication de moteurs et turbines, à l’exception des moteurs d’avion et de véhicules|Fabrication de machines et équipements n.c.a.
2812Z|fabrication d’équipements hydrauliques et pneumatiques|Fabrication de machines et équipements n.c.a.
2813Z|fabrication d’autres pompes et compresseurs|Fabrication de machines et équipements n.c.a.
2814Z|fabrication d’autres articles de robinetterie|Fabrication de machines et équipements n.c.a.
2815Z|fabrication d’engrenages et d’organes mécaniques de transmission|Fabrication de machines et équipements n.c.a.
2821Z|fabrication de fours et brûleurs|Fabrication de machines et équipements n.c.a.
2822Z|fabrication de matériel de levage et de manutention|Fabrication de machines et équipements n.c.a.
2823Z|fabrication de machines et d’équipements de bureau (à l’exception des ordinateurs et équipements périphériques|Fabrication de machines et équipements n.c.a.
2824Z|fabrication d’outillage portatif à moteur incorporé|Fabrication de machines et équipements n.c.a.
2825Z|fabrication d’équipements aérauliques et frigorifiques industriels|Fabrication de machines et équipements n.c.a.
2829A|fabrication d’équipements d’emballage, de conditionnement et de pesage|Fabrication de machines et équipements n.c.a.
2829B|fabrication d’autres machines d’usage général|Fabrication de machines et équipements n.c.a.
2830Z|fabrication de machines agricoles et forestières|Fabrication de machines et équipements n.c.a.
2841Z|fabrication de machines-outils pour le travail des métaux|Fabrication de machines et équipements n.c.a.
2849Z|fabrication d’autres machines-outils|Fabrication de machines et équipements n.c.a.
2891Z|fabrication de machines pour la métallurgie|Fabrication de machines et équipements n.c.a.
2892Z|fabrication de machines pour l’extraction ou la construction|Fabrication de machines et équipements n.c.a.
2893Z|fabrication de machines pour l’industrie agro-alimentaire|Fabrication de machines et équipements n.c.a.
2894Z|fabrication de machines pour les industries textiles|Fabrication de machines et équipements n.c.a.
2895Z|fabrication de machines pour les industries du papier et du carton|Fabrication de machines et équipements n.c.a.
2896Z|fabrication de machines pour le travail du caoutchouc ou des plastiques|Fabrication de machines et équipements n.c.a.
2899A|fabrication de machines d’imprimerie|Fabrication de machines et équipements n.c.a.
2899B|fabrication d’autres machines spécialisées|Fabrication de machines et équipements n.c.a.
2011Z|fabrication de gaz industriels|Industrie chimique
2012Z|fabrication de colorants et de pigments|Industrie chimique
2013A|enrichissement et retraitement des matières nucléaires|Industrie chimique
2013B|fabrication d’autres produits chimiques inorganiques de base n.c.a.|Industrie chimique
2014Z|fabrication d’autres produits chimiques organiques de base|Industrie chimique
2015Z|fabrication de produits azotés et d’engrais|Industrie chimique
2016Z|fabrication de matières plastiques de base|Industrie chimique
2017Z|fabrication de caoutchouc synthétique|Industrie chimique
2020Z|fabrication de pesticides et d’autres produits agrochimiques|Industrie chimique
2030Z|fabrication de peintures, vernis, encres et mastics|Industrie chimique
2041Z|fabrication de savons, détergents et produits d’entretien|Industrie chimique
2042Z|fabrication de parfums et de produits pour la toilette|Industrie chimique
2051Z|fabrication de produits explosifs|Industrie chimique
2052Z|fabrication de colles|Industrie chimique
2053Z|fabrication d’huiles essentielles|Industrie chimique
2059Z|fabrication d’autres produits chimiques n.c.a.|Industrie chimique
2060Z|fabrication de fibres artificielles ou synthétiques|Industrie chimique
1011Z|transformation et conservation de la viande de boucherie|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1012Z|transformation et conservation de la viande de volaille|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1013A|préparation industrielle de produits à base de viande|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1013B|charcuterie|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1020Z|transformation et conservation de poissons, de crustacés et de mollusques|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1031Z|transformation et conservation de pommes de terre|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1032Z|préparation de jus de fruits et légumes|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1039A|autre transformation et conservation de légumes|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1039B|transformation et conservation de fruits|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1041A|fabrication d’huiles et graisses brutes|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1041B|fabrication d’huiles et graisses raffinées|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1042Z|fabrication de margarines et graisses comestibles similaires|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1051A|fabrication de lait liquide et de produits frais|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1051B|fabrication de beurre|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1051C|fabrication de fromage|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1051D|fabrication d’autres produits laitiers|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1052Z|fabrication de glaces et sorbets|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1061A|meunerie|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1061B|autre activités du travail des grains|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1062Z|fabrication de produits amylacés|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1071A|fabrication industrielle de pain et de pâtisserie fraiche|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
1071B|cuisson de produits de boulangerie|Fabrication de denrées alimentaires, de boissons et de produits à base de tabac
