siret,lng,lat,siren,RH,NAF,Activité,Groupe
33241357400036,4.8628874,47.024025,332413574,15,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
3588015200026,4.9631424,47.124805,35880152,8,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
30590260300029,4.989725,47.2595,305902603,15,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
39446938100039,4.799111,46.970306,394469381,35,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
52335676400028,4.8771734,47.10468,523356764,15,16.24Z,fabrication d’emballages en bois,"Travail du bois, industries du papier et imprimerie"
51592021300094,4.8755107,47.094803,515920213,2,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
42119790600124,4.3820224,47.39078,421197906,15,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
42131414700024,5.0617495,47.44735,421314147,8,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
51592021300045,4.9113507,47.101418,515920213,15,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
33389261000531,5.189172,47.381985,333892610,4,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
78858835800036,5.0509295,47.3728,788588358,2,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
42119790600033,4.457013,47.14363,421197906,35,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
33389261000572,5.376092,47.231506,333892610,4,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
55200596900134,2.3807414,48.831776,552005969,15,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
56211088201138,2.2677917,48.837254,562110882,4,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
1725112500013,4.9554605,47.335724,17251125,8,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
32227026500018,4.7613335,47.030857,322270265,15,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
52095807500019,4.8403587,47.532997,520958075,4,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
33389261000721,5.0557866,47.430347,333892610,2,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
51592021300136,4.9084797,47.132088,515920213,8,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
51592021300151,4.6800756,46.959126,515920213,4,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
51592021300177,5.0166545,47.282875,515920213,2,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
48286513600014,5.0166545,47.282875,482865136,2,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
33389261000564,5.0166545,47.282875,333892610,35,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
33389261000523,5.1438475,47.24324,333892610,8,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
42119790600181,4.4467206,47.135178,421197906,4,08.12Z,"exploitation de gravières et sablières, extraction d’argiles et de kaolin",Industries extractives
32675772100013,4.9052486,47.12821,326757721,2,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
41335900100034,2.3571458,48.82899,413359001,35,33.12Z,réparation de machines et équipements mécaniques,Autres industries manufacturières : réparation et installation de machines et d’équipements
