siret,lng,lat,siren,RH,NAF,Activité,Groupe
95752090100258,4.833428,45.720592,957520901,75,35.11Z,production d’électricité,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
55208131782404,4.8552704,45.758385,552081317,2,35.11Z,production d’électricité,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
55208131783501,4.8552704,45.758385,552081317,2,35.11Z,production d’électricité,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
56212263000691,4.8605084,45.77589,562122630,8,35.11Z,production d’électricité,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41025264700061,4.7448287,45.908886,410252647,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
43402705800057,4.84106,45.68156,434027058,75,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
42099508600022,4.7461624,45.97965,420995086,4,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
38451445100010,5.0636926,45.685055,384514451,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
33262817100040,4.931452,45.765606,332628171,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41025264700087,4.930799,45.766247,410252647,4,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
54209770400200,4.724127,46.00798,542097704,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
30541881600032,5.0235267,45.76702,305418816,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
44966760900019,4.4355903,45.62773,449667609,4,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
84521565600024,4.7651005,45.673096,845215656,2,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
95450612700040,4.968803,45.719193,954506127,35,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
53247428500022,4.7626204,45.652252,532474285,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
79362809000011,4.762389,45.732353,793628090,2,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
40863178600048,4.91166,45.68999,408631786,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
79455355200017,4.912279,45.687828,794553552,2,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
44087413900023,4.867495,45.746964,440874139,35,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
31524980500211,4.7930803,45.56766,315249805,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
82789435300016,5.100667,45.70834,827894353,2,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
39937594800029,5.100667,45.70834,399375948,35,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
42099508600030,4.715256,45.954006,420995086,0,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
49756863400016,4.8145714,45.88871,497568634,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
42453649800027,4.7725925,45.711967,424536498,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
48888523700013,4.6456003,45.740143,488885237,4,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
35301693400013,4.8008685,45.566235,353016934,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
33262817100032,5.004307,45.668106,332628171,35,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
39821620000038,5.0317664,45.641968,398216200,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
35373680400017,4.8252664,45.904476,353736804,2,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
82194439400013,4.7083645,45.619232,821944394,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
34929586500027,5.0331497,45.7624,349295865,35,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
35157583200024,4.722063,46.119102,351575832,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
80946414200011,4.586148,45.954456,809464142,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
80855603900010,5.1188836,45.704735,808556039,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
53399055200010,4.7661667,45.709435,533990552,2,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
95450612700248,4.9716043,45.720657,954506127,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
43276414000096,4.971735,45.7232,432764140,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
44017183300021,4.971735,45.7232,440171833,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
82075369700029,4.8497543,45.71259,820753697,0,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
52284301000011,4.848828,45.71155,522843010,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
31691739200169,4.837124,45.716736,316917392,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
37881543500011,5.035295,45.72444,378815435,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
33125241100011,5.0537853,45.719387,331252411,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
49104993800039,4.7585306,45.58598,491049938,0,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41025264700095,4.842576,45.70647,410252647,2,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41321280400038,4.9246635,45.694973,413212804,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
47858291900021,5.0055857,45.66618,478582919,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
39195574700152,4.9613557,45.72996,391955747,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
81295198600023,5.076609,45.76273,812951986,2,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
47887261700012,4.8474054,45.747112,478872617,2,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
48984492800023,4.7266407,46.00933,489844928,0,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
40326464100206,4.919258,45.673206,403264641,4,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
33262817100313,4.8394885,45.723145,332628171,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
40863178600030,4.840126,45.71891,408631786,35,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
49215144400014,4.841209,45.71921,492151444,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
95450612700339,4.841274,45.71884,954506127,75,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
79861299000027,4.9013276,45.69119,798612990,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41907849800013,4.90275,45.68658,419078498,35,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
42128768100017,4.90275,45.68658,421287681,35,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
33000087800521,4.8175225,45.791054,330000878,35,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41025264700269,4.8175225,45.791054,410252647,2,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
80053979300011,4.8436394,45.757816,800539793,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
80439011000026,5.0172477,45.70168,804390110,2,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
30892119600058,4.796981,45.776703,308921196,0,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
83923016600010,4.9052005,45.784428,839230166,4,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41975405600051,5.0068274,45.666016,419754056,0,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
34383192100022,4.9389462,45.75886,343831921,15,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
82536968900013,4.8455987,45.753376,825369689,0,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
79077473100018,5.022222,45.697086,790774731,8,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
64204327700150,4.820892,45.553272,642043277,35,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41118365000034,4.839862,45.50299,411183650,35,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
43440701100015,5.0496826,45.67497,434407011,4,38.32Z,récupération de déchets triés,"Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
44935422400106,4.472223,45.70201,449354224,150,23.32Z,"fabrication de briques, tuiles et produits de construction, en terre cuite",Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
44935422400098,4.4736757,45.708298,449354224,8,23.32Z,"fabrication de briques, tuiles et produits de construction, en terre cuite",Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
